ID,NAME,us_city,us_state_code,SOURCE
PAR,"Port Arthur, TX",Port Arthur,TX,State Department
PAS,"Pascagoula, MS",Pascagoula,MS,State Department
PAX,"Patuxent River, MD",Patuxent River,MD,State Department
PBB,"Peace Bridge, NY",Peace Bridge,NY,State Department
PCF,"Port Canaveral, FL",Port Canaveral,FL,State Department
PCW,No PORT Code (PCW),,,Udacity
PDN,"Paso del Norte, El Paso, TX",El Paso,TX,State Department
PEK,"BEIJING CAPITAL INTL, PRC",,,Udacity
PEM,"Pembina, ND",Pembina,ND,State Department
PEN,"Pensacola, FL",Pensacola,FL,State Department
PER,"Perth Amboy, NJ",Perth Amboy,NJ,State Department
PEV,"Port Everglades, FL",Port Everglades,FL,State Department
PFN,No PORT Code (PFN),,,Udacity
PGR,"Progreso, TX",Progreso,TX,State Department
PHF,No PORT Code (PHF),,,Udacity
PHI,"Philadelphia, PA",Philadelphia,PA,State Department
PHN,Collapsed (PHU) 06/15,Port Huron,MI,Udacity
PHO,"Phoenix, AZ",Phoenix,AZ,State Department
PHR,"Pharr, TX",Pharr,TX,State Department
PHU,"Port Huron, MI",Port Huron,MI,State Department
PHY,"Pacific Highway POE, WA",Blaine,WA,State Department
PIA,"GREATER PEORIA, IL",GREATER PEORIA,IL,Udacity
PIB,"Paradise, Island, Bahamas",,,State Department
PIE,"Piegan, MT",Piegan,MT,State Department
PIN,"Pine Creek, MN",Pine Creek,MN,State Department
PIR,"POINT ROBERTS, WA",POINT ROBERTS,WA,Udacity
PIT,"Pittsburgh, PA",Pittsburgh,PA,State Department
PIV,"Pinnacle POE, VT",Richford,VT,State Department
PIZ,"DEW STATION PT LAY DEW, AK",Point Lay,AK,Udacity
PKC,"Poker Creek, AK",Poker Creek,AK,State Department
PLB,No PORT Code (PLB),,,Udacity
PNG,"Port Angeles, WA",Port Angeles,WA,State Department
PNH,"Pittsburg, NH",Pittsburg,NH,State Department
POE,"Port of El Paso, TX",El Paso,TX,State Department
POM,"Portland, ME",Portland,ME,State Department
PON,"Ponce, PR",Ponce,PR,State Department
POO,"Portland, OR",Portland,OR,State Department
POR,"Portal, ND",Portal,ND,State Department
PRC,Prince Rupert BC Canada,,,State Department
PRE,"Presidio, TX",Presidio,TX,State Department
PRO,"Providence, RI",Providence,RI,State Department
PSC,"TRI-CITIES - PASCO, WA",Pasco,WA,Udacity
PSE,"PONCE-MERCEDITA, PR",Ponce,PR,Udacity
PSJ,"Port St. Joe, FL",Port St. Joe,FL,State Department
PSM,"Portsmouth, NH",Portsmouth,NH,State Department
PSP,"PALM SPRINGS, CA",PALM SPRINGS,CA,Udacity
PTK,"OAKLAND COUNTY - PONTIAC, MI",PONTIAC,MI,Udacity
PTL,"Porthill, ID",Porthill,ID,State Department
PTO,"Port Townsend, WA",Port Townsend,WA,State Department
PTR,"Point Roberts, WA",Point Roberts,WA,State Department
PTY,"OMAR TORRIJOS, PANAMA",,,Udacity
PUT,"Put-in-Bay, OH",Put-in-Bay,OH,State Department
PVD,"THEODORE FRANCIS - WARWICK, RI",WARWICK,RI,Udacity
PWB,"PASCO, WA",PASCO,WA,Udacity
RAN,"Ranier, MN",Ranier,MN,State Department
RAY,"Raymond, MT",Raymond,MT,State Department
RBB,"Niagara Falls, Rainbow Bridge, NY",Niagara Falls,NY,State Department
RBT,"Roberts Landing, MI",Roberts Landing,MI,State Department
RCM,"Richmond, VA",Richmond,VA,State Department
RDM,"ROBERTS FIELDS - REDMOND, OR",REDMOND,OR,Udacity
RDU,"Raleigh-Durham, NC",Raleigh,NC,State Department
REN,"Reno, NV",Reno,NV,State Department
RFD,"GREATER ROCKFORD, IL",GREATER ROCKFORD,IL,Udacity
RGM,"RANGELEY, ME (BPS)",RANGELEY,ME,Udacity
RIF,"Richford, VT",Richford,VT,State Department
RIO,"Rio Grande City, TX",Rio Grande City,TX,State Department
RIT,"Rome, Italy",,,State Department
RIV,"RIVERSIDE, CA",RIVERSIDE,CA,Udacity
RME,"ROME, NY",ROME,NY,Udacity
RNO,"CANNON INTL - RENO/TAHOE, NV",Reno,NV,Udacity
ROC,"Rochester, NY",Rochester,NY,State Department
ROG,"ROGERS ARPT, AR",ROGERS,AR,Udacity
ROM,"Roma, TX",Roma,TX,State Department
ROO,"Roosville, MT",Roosville,MT,State Department
ROS,"Roseau, MN",Roseau,MN,State Department
ROU,"Rouses Point, NY",Rouses Point,NY,State Department
RST,"ROCHESTER, MN",ROCHESTER,MN,Udacity
RUI,"RUIDOSO, NM",RUIDOSO,NM,Udacity
RYY,No PORT Code (RYY),,,Udacity
SAA,"SANTA ANA, CA",SANTA ANA,CA,Udacity
SAC,"Sacramento, CA",Sacramento,CA,State Department
SAG,"Saginaw, MI",Saginaw,MI,State Department
SAI,"SAIPAN, SPN",,,Udacity
SAJ,"San Juan, PR",San Juan,PR,State Department
SAN,"SAN SALVADOR, EL SALVADOR",,,Udacity
SAR,"Sarles, ND",Sarles,ND,State Department
SAS,"Sasabe, AZ",Sasabe,AZ,State Department
SAU,"St. Augustine, FL",St. Augustine,FL,State Department
SAV,"Savannah, GA",Savannah,GA,State Department
SBN,"SOUTH BEND, IN",SOUTH BEND,IN,Udacity
SBR,"South Brewer, ME",South Brewer,ME,State Department
SCC,"BP SPEC COORD. CTR, TX",Center,TX,Udacity
SCH,No PORT Code (SCH),,,Udacity
SCL,"St. Clair, MI",St. Clair,MI,State Department
SCO,"Scobey, MT",Scobey,MT,State Department
SDP,"San Diego Intl. Airport, CA",San Diego,CA,State Department
SDY,"Sandusky, OH",Sandusky,OH,State Department
SEA,"Seattle, WA",Seattle,WA,State Department
SET,"Seattle-Tacoma, WA",Seattle,WA,State Department
SFB,"Sanford, FL",Sanford,FL,State Department
SFR,"San Francisco, CA",San Francisco,CA,State Department
SGF,"SPRINGFIELD-BRANSON, MO",Springfield,MO,Udacity
SGJ,"ST AUGUSTINE ARPT, FL",ST AUGUSTINE,FL,Udacity
